詞彙,漢語拼音,詞類
喪生,sàngshēng ,(VS)
騷動,sāodòng ,(VA)
嫂子,săozi ,(N)
色澤,sèzé ,(N)
剎/煞車,shāchē ,(VA)
沙拉,shālā ,(N)
沙啞,shāyă ,(VS)
傻瓜,shăguā ,(N)
山峰,shānfēng ,(N)
山谷,shāngŭ ,(N)
山脈,shānmài  ,(N)
閃電,shăndiàn ,(N)
閃爍,shănshuò ,(VA)
閃耀,shănyào ,(VS)
擅長,shàncháng ,(VS)
傷害,shānghài,(N)
傷口,shāngkǒu ,(N)
傷亡,shāngwáng ,(VS)
商榷,shāngquè ,(VA)
商討,shāngtăo ,(VA)
賞,shăng ,(VA)
尚,shàng ,(Adv)
上吊,shàngdiào ,(VA)
上好,shànghăo ,(VS)
上進,shàngjìn ,(VS)
上空,shàngkōng ,(N)
上路,shànglù ,(VA)
上門,shàngmén ,(VA)
上司,shàngsī ,(N)
上下,shàngxià ,(N)
上旬,shàngxún ,(N)
上演,shàngyăn ,(VA)
上癮,shàngyǐn ,(VS)
上漲,shàngzhǎng,(VS)
燒香,shāoxiāng ,(VA)
奢侈,shēchǐ ,(VS)
奢望,shēwàng ,(VS)
設,shè ,(VA)
設施,shèshī ,(N)
設想,shèxiăng ,(VA)
射擊,shèjí ,(VA)
射手,shèshǒu ,(N)
涉及,shèjí ,(VS)
涉嫌,shèxián ,(VS)
社論,shèlùn ,(N)
社區,shèqū,(N)
攝取,shèqŭ ,(VA)
攝氏,shèshì ,(N)
攝影機,shèyǐngjī,(N)
深奧,shēnào ,(VS)
深沉,shēnchén ,(VS)
深度,shēndù ,(N)
深厚,shēnhòu ,(VS)
深切,shēnqiè ,(VS)
深入,shēnrù ,(VA)
深造,shēnzào ,(VA)
身段,shēnduàn ,(N)
身教,shēnjiào ,(N)
身為,shēnwéi,(VA)
身子,shēnzi ,(N)
伸張,shēnzhāng ,(VA)
神,shén ,(VS)
神情,shénqíng ,(N)
審核,shěnhé ,(VA)
審判,shěnpàn ,(VA)
審慎,shěnshèn ,(VS)
審議,shěnyì ,(VA)
甚,shèn ,(Adv)
滲入,shènrù ,(VA)
生詞,shēngcí,(N)
生火,shēnghuǒ ,(VA)
生理,shēnglǐ ,(N)
生平,shēngpíng ,(N)
生氣,shēngqì ,(N)
生前,shēngqián ,(N)
生人,shēngrén ,(N)
生死,shēngsǐ ,(N)
生態,shēngtài ,(N)
生物,shēngwù ,(N)
生效,shēngxiào ,(VS)
生硬,shēngyìng ,(VS)
生育,shēngyù,(VA)
生育,shēngyù,(N)
生殖,shēngzhí ,(VA)
升遷,shēngqiān ,(VA)
升值,shēngzhí ,(VS)
聲稱,shēngchēng ,(VA)
聲明,shēngmíng ,(N)
聲勢,shēngshì ,(N)
省,shěng,(N)
省事,shěngshì ,(VS)
盛,shèng ,(VA)
盛情,shèngqíng ,(N)
盛行,shèngxíng ,(VS)
盛裝,shèngzhuāng ,(VS)
勝地,shèngdì ,(N)
聖賢,shèngxián ,(N)
失,shī ,(VS)
失靈,shīlíng ,(VS)
失落,shīluò ,(VS)
失明,shīmíng ,(VS)
失事,shīshì ,(VS)
失手,shīshǒu ,(VS)
失蹤,shīzōng ,(VS)
師範,shīfàn ,(VS)
施肥,shīféi ,(VA)
施行,shīxíng ,(VA)
屍體,shītǐ ,(N)
石膏,shígāo ,(N)
十足,shízú ,(VS)
拾,shí ,(VA)
時差,shíchā,(N)
時光,shíguāng ,(N)
時節,shíjié ,(N)
時髦,shímáo ,(VS)
時效,shíxiào ,(N)
實地,shídì ,(Adv)
實踐,shíjiàn ,(VA)
實況,shíkuàng ,(N)
實例,shílì ,(N)
實習,shíxí ,(VA)
實證,shízhèng ,(N)
實質,shízhí ,(N)
屎,shǐ ,(N)
史料,shǐliào ,(N)
使喚,shǐhuàn ,(VA)
使節,shǐjié ,(N)
使勁,shǐjìn ,(VA)
使命,shǐmìng ,(N)
士兵,shìbīng ,(N)
仕女,shìnǚ ,(N)
示範,shìfàn ,(VA)
市面,shìmiàn ,(N)
市容,shìróng ,(N)
世代,shìdài ,(N)
世間,shìjiān ,(N)
世事,shìshì ,(N)
試卷,shìjuàn ,(N)
試圖,shìtú ,(VA)
逝世,shìshì ,(VS)
勢必,shìbì ,(Adv)
事故,shìgù ,(N)
事變,shìbiàn ,(N)
事態,shìtài ,(N)
事務,shìwù ,(N)
事宜,shìyí ,(N)
釋放,shìfàng ,(VA)
嗜好,shìhào ,(N)
視為,shìwéi,(VA)
室友,shìyǒu,(N)
適宜,shìyí ,(VS)
適中,shìzhōng ,(VS)
收藏,shōucáng ,(VA)
收費,shōufèi ,(VA)
收集,shōují ,(VA)
收買,shōumăi ,(VA)
收縮,shōusuō ,(VA)
收聽,shōutīng ,(VA)
收益,shōuyì ,(N)
手冊,shǒucè ,(N)
手槍,shǒuqiāng ,(N)
手勢,shǒushì ,(N)
守,shǒu,(VA)
守護,shǒuhù ,(VA)
首府,shǒufŭ ,(N)
首領,shǒulǐng ,(N)
首席,shǒuxí ,(N)
首飾,shǒushì ,(N)
首先,shǒuxiān,(Conj)
首長,shǒuzhǎng,(N)
受害,shòuhài ,(VS)
受訓,shòuxùn ,(VA)
售貨員,shòuhuòyuán ,(N)
授課,shòukè ,(VA)
狩獵,shòuliè ,(VA)
壽星,shòuxīng ,(N)
疏導,shūdăo ,(VA)
疏散,shūsàn,(VA)
梳,shū ,(VA)
書本,shūběn ,(N)
書面,shūmiàn ,(N)
書寫,shūxiě ,(VA)
舒暢,shūchàng ,(VS)
舒展,shūzhăn ,(VS)
輸血,shūxiě ,(VA)
束縛,shùfú ,(VA)
樹苗,shùmiáo ,(N)
數據,shùjù ,(N)
率,shuài ,(VA)
霜,shuāng ,(N)
雙重,shuāngchóng ,(VS)
雙打,shuāngdă ,(N)
爽快,shuăngkuài ,(VS)
水道,shuǐdào ,(N)
水稻,shuǐdào ,(N)
水晶,shuǐjīng ,(N)
水庫,shuǐkù ,(N)
水力,shuǐlì ,(N)
水泥,shuǐní ,(N)
水源,shuǐyuán ,(N)
水蒸氣,shuǐzhēngqì ,(N)
睡眠,shuìmián ,(N)
順從,shùncóng,(VS)
順應,shùnyìng,(VS)
瞬間,shùnjiān ,(N)
說謊,shuōhuăng ,(VA)
說笑,shuōxiào ,(VA)
思潮,sīcháo ,(N)
思念,sīniàn ,(VS)
思維,sīwéi ,(N)
絲毫,sīháo ,(Det)
司令,sīlìng ,(N)
斯文,sīwén ,(VS)
私心,sīxīn ,(N)
賜,sì ,(VA)
似的/地,sìde,(N)
松樹,sōngshù ,(N)
慫恿,sǒngyǒng ,(VA)
搜集,sōují ,(VA)
俗稱,súchēng ,(VA)
俗語,súyŭ ,(N)
塑膠,sùjiāo ,(N)
訴苦,sùkŭ ,(VA)
素食,sùshí ,(N)
素質,sùzhí ,(N)
算命,suànmìng ,(VA)
算術,suànshù ,(N)
雖說,suīshuō ,(Conj)
隨,suí ,(Adv)
隨,suí ,(Prep)
隨後,suíhòu ,(N)
隨即,suíjí ,(Adv)
隨身,suíshēn ,(Adv)
隨同,suítóng ,(Prep)
隧道,suìdào ,(N)
歲月,suìyuè ,(N)
損,sŭn ,(VA)
損害,sŭnhài ,(VA)
損壞,sŭnhuài ,(VA)
損傷,sŭnshāng ,(VS)
縮小,suōxiăo ,(VS)
所得,suǒdé,(N)
所以然,suǒyǐrán ,(N)
所在,suǒzài ,(N)
索賠,suǒpéi ,(VA)
瑣碎,suǒsuì ,(VS)
牠,tā,(N)
他人,tārén ,(N)
塔,tă ,(N)
踏實,tàshí ,(VS)
台,tái,(M)
台階,táijiē ,(N)
太極拳,tàijíquán ,(N)
太平,tàipíng ,(VS)
態勢,tàishì ,(N)
貪,tān ,(VS)
貪心,tānxīn ,(VS)
攤位,tānwèi ,(N)
痰,tán ,(N)
談論,tánlùn ,(VA)
彈性,tánxìng ,(N)
坦克,tănkè ,(N)
坦然,tănrán ,(VS)
探病,tànbìng ,(VA)
探究,tànjiù ,(VA)
探索,tànsuǒ ,(VA)
探望,tànwàng ,(VA)
探險,tànxiăn ,(VA)
湯圓,tāngyuán ,(N)
堂堂,tángtáng ,(VS)
倘若,tăngruò ,(Conj)
陶器,táoqì ,(N)
逃生,táoshēng ,(VA)
逃稅,táoshuì ,(VA)
淘汰,táotài ,(VA)
套房,tàofáng,(N)
套裝,tàozhuāng ,(N)
特此,tècǐ ,(Adv)
特區,tèqū ,(N)
特權,tèquán ,(N)
特約,tèyuē ,(VS)
特徵,tèzhēng,(N)
疼愛,téngài ,(VS)
剔除,tīchú ,(VA)
啼,tí ,(VA)
提拔,tíbá ,(VA)
提倡,tíchàng ,(VA)
提出,tíchū ,(VA)
提及,tíjí ,(VA)
提名,tímíng ,(VA)
提升,tíshēng ,(VA)
提議,tíyì ,(VA)
體操,tǐcāo ,(N)
體格,tǐgé ,(N)
體積,tǐjī ,(N)
體諒,tǐliàng ,(VS)
體面,tǐmiàn ,(VS)
體系,tǐxì ,(N)
體質,tǐzhí ,(N)
替代,tìdài ,(VS)
添,tiān ,(VA)
天敵,tiāndí ,(N)
天然氣,tiānránqì ,(N)
天性,tiānxìng ,(N)
天災,tiānzāi ,(N)
田地,tiándì ,(N)
田徑,tiánjìng ,(N)
甜美,tiánměi ,(VS)
挑剔,tiāotī ,(VA)
調和,tiáohé ,(VS)
調和,tiáohé ,(VA)
調節,tiáojié ,(VA)
調皮,tiáopí ,(VS)
條例,tiáolì ,(N)
挑戰,tiǎozhàn,(N)
聽寫,tīngxiě ,(VA)
停頓,tíngdùn ,(VA)
停留,tíngliú ,(VA)
停滯,tíngzhì ,(VA)
通,tōng ,(M)
通報,tōngbào ,(VA)
通車,tōngchē ,(VS)
通稱,tōngchēng ,(VA)
通貨膨脹,tōnghuòpéngzhàng ,(VS)
通緝,tōngqì ,(VA)
通行,tōngxíng ,(VA)
通用,tōngyòng ,(VS)
同伴,tóngbàn ,(N)
同化,tónghuà ,(VA)
同鄉,tóngxiāng ,(N)
同心,tóngxīn ,(VS)
同性戀,tóngxìngliàn ,(N)
同業,tóngyè ,(N)
統計,tǒngjì,(N)
統統,tǒngtǒng ,(Adv)
統制,tǒngzhì ,(VA)
痛恨,tònghèn ,(VS)
偷渡,tōudù ,(VA)
偷懶,tōulăn ,(VS)
投保,tóubăo ,(VA)
投機,tóujī ,(VS)
投入,tóurù ,(VS)
透明,tòumíng ,(VS)
徒弟,túdì ,(N)
突擊,tújí ,(VA)
突兀,túwù ,(VS)
塗,tú ,(VA)
圖,tú ,(VA)
圖表,túbiǎo,(N)
圖畫,túhuà ,(N)
圖騰,túténg ,(N)
土壤,tŭrăng ,(N)
團,tuán,(M)
團聚,tuánjù ,(VS)
團員,tuányuán ,(N)
推測,tuīcè ,(VA)
推崇,tuīchóng ,(VS)
推出,tuīchū ,(VA)
推選,tuīxuăn ,(VA)
退化,tuìhuà ,(VS)
吞吞吐吐,tūntūntŭtŭ ,(VA)
托,tuō ,(VA)
拖,tuō ,(VA)
拖累,tuōlèi ,(VA)
拖延,tuōyán ,(VS)
脫身,tuōshēn ,(VS)
脫手,tuōshǒu ,(VA)
瓦斯,wăsī ,(N)
外表,wàibiǎo,(N)
外號,wàihào ,(N)
外力,wàilì ,(N)
外貿,wàimào ,(N)
外線,wàixiàn ,(N)
外銷,wàixiāo ,(VA)
外遇,wàiyù ,(N)
外在,wàizài ,(N)
外資,wàizī ,(N)
外祖父,wàizŭfù ,(N)
外祖母,wàizŭmŭ ,(N)
彎曲,wānqū ,(VS)
完備,wánbèi ,(VS)
完美,wánměi,(VS)
玩弄,wánnòng ,(VA)
頑強,wánqiáng ,(VS)
挽,wăn ,(VA)
挽救,wănjiù ,(VA)
萬分,wànfēn ,(Adv)
萬事,wànshì,(N)
萬歲,wànsuì ,(VS)
萬萬,wànwàn ,(Adv)
萬物,wànwù ,(N)
惋惜,wànxí ,(VS)
亡國,wángguó ,(VS)
往來,wănglái ,(VA)
旺季,wàngjì ,(N)
旺盛,wàngshèng ,(VS)
威風,wēifēng ,(VS)
威力,wēilì ,(N)
萎縮,wēisuō,(VS)
為,wéi ,(VA)
為人,wéirén,(N)
為生,wéishēng ,(VS)
為首,wéishǒu ,(VS)
為止,wéizhǐ,(N)
違背,wéibèi ,(VS)
違約,wéiyuē ,(VA)
危害,wéihài ,(VA)
圍巾,wéijīn ,(N)
圍牆,wéiqiáng ,(N)
圍繞,wéirào ,(VA)
微弱,wéiruò ,(VS)
微小,wéixiăo ,(VS)
維生素,wéishēngsù ,(N)
胃,wèi ,(N)
胃口,wèikǒu ,(N)
未必,wèibì ,(Adv)
未婚夫,wèihūnfū ,(N)
未婚妻,wèihūnqī ,(N)
未免,wèimiăn ,(Adv)
衛生,wèishēng,(N)
溫,wēn ,(VS)
溫帶,wēndài ,(N)
溫泉,wēnquán ,(N)
溫習,wēnxí ,(VA)
溫馴,wēnxún ,(VS)
瘟疫,wēnyì ,(N)
文明,wénmíng,(N)
文壇,wéntán ,(N)
文獻,wénxiàn ,(N)
聞名,wénmíng ,(VS)
穩健,wěnjiàn ,(VS)
紊亂,wènluàn ,(VS)
問世,wènshì ,(VA)
臥,wò ,(VA)
烏龜,wūguī ,(N)
烏龍茶,wūlóngchá ,(N)
烏鴉,wūyā ,(N)
汙染/污染,wūrǎn,(N)
無比,wúbǐ ,(VS)
無線電,wúxiàndiàn ,(N)
無形,wúxíng,(VS)
無疑,wúyí ,(Adv)
五金,wŭjīn ,(N)
武力,wŭlì ,(N)
武士,wŭshì ,(N)
武裝,wŭzhuāng ,(VA)
侮辱,wŭrù ,(VA)
物產,wùchăn ,(N)
物品,wùpǐn ,(N)
物體,wùtǐ ,(N)
物資,wùzī ,(N)
誤差,wùchā,(N)
誤解,wùjiě ,(VS)
務實,wùshí ,(VS)
西服,xīfú ,(N)
西洋,xīyáng ,(N)
西醫,xīyī ,(N)
溪流,xīliú ,(N)
席,xí ,(M)
席位,xíwèi ,(N)
錫,xí ,(N)
襲擊,xíjí ,(VA)
昔日,xírì  ,(N)
習題,xítí ,(N)
洗禮,xǐlǐ ,(N)
喜氣,xǐqì ,(N)
喜悅,xǐyuè ,(VS)
系,xì,(N)
戲曲,xìqŭ ,(N)
瑕疵,xiácī ,(N)
峽谷,xiágŭ ,(N)
狹小,xiáxiăo ,(VS)
狹窄,xiázhăi ,(VS)
下筆,xiàbǐ ,(VA)
下跌,xiàdié ,(VS)
下滑,xiàhuá,(VA)
下列,xiàliè ,(VS)
下水,xiàshuǐ ,(VA)
下水道,xiàshuǐdào ,(N)
下旬,xiàxún ,(N)
掀,xiān ,(VA)
仙丹,xiāndān ,(N)
先後,xiānhòu ,(N)
先進,xiānjìn ,(N)
先驅,xiānqū ,(N)
先天,xiāntiān ,(VS)
鮮明,xiānmíng ,(VS)
鮮艶/豔,xiānyàn ,(VS)
纖維,xiānwéi ,(N)
嫌疑,xiányí ,(N)
顯現,xiănxiàn ,(VS)
限,xiàn ,(VS)
限度,xiàndù ,(N)
憲法,xiànfă ,(N)
線路,xiànlù ,(N)
陷入,xiànrù ,(VA)
獻身,xiànshēn ,(VA)
現今,xiànjīn,(N)
現行,xiànxíng ,(VS)
現狀,xiànzhuàng ,(N)
相傳,xiāngchuán ,(VA)
相仿,xiāngfăng ,(VS)
相符,xiāngfú ,(VS)
相繼,xiāngjì ,(Adv)
相配,xiāngpèi ,(VS)
鄉土,xiāngtŭ ,(VS)
香皂,xiāngzào ,(N)
鑲,xiāng ,(VA)
想開,xiăngkāi ,(VS)
響亮,xiăngliàng ,(VS)
向,xiàng ,(Adv)
項,xiàng ,(M)
嚮導,xiàngdăo ,(N)
嚮往,xiàngwăng ,(VS)
象徵,xiàngzhēng ,(N)
象徵,xiàngzhēng ,(VS)
消毒,xiāodú ,(VA)
消防,xiāofáng ,(VS)
消耗,xiāohào ,(VA)
消遣,xiāoqiăn ,(N)
消遣,xiāoqiăn ,(VA)
瀟灑,xiāosă ,(VS)
逍遙,xiāoyáo ,(VS)
小販,xiăofàn ,(N)
小伙/夥子,xiăohuǒzi ,(N)
效法,xiàofă ,(VA)
效勞,xiàoláo ,(VA)
效力,xiàolì ,(N)
效忠,xiàozhōng ,(VA)
笑嘻嘻,xiàoxīxī ,(VA)
孝子,xiàozǐ ,(N)
協辦,xiébàn ,(VA)
協定,xiédìng ,(VA)
協會,xiéhuì ,(N)
協商,xiéshāng ,(VA)
協調,xiétiáo ,(VA)
協調,xiétiáo ,(VS)
協議,xiéyì ,(N)
協議,xiéyì ,(VA)
血汗,xiěhàn ,(N)
血跡,xiějī ,(N)
血壓,xiěyā ,(N)
寫實,xiěshí ,(VS)
寫作,xiězuò ,(VA)
洩氣,xièqì ,(VS)
心愛,xīnài ,(VS)
心軟,xīnruăn ,(VS)
心事,xīnshì ,(N)
心思,xīnsī ,(N)
心酸,xīnsuān ,(VS)
心態,xīntài ,(N)
心疼,xīnténg ,(VS)
心胸,xīnxiōng ,(N)
辛勤,xīnqín ,(VS)
辛酸,xīnsuān ,(VS)
新潮,xīncháo ,(VS)
新手,xīnshǒu ,(N)
新穎,xīnyǐng ,(VS)
信賴,xìnlài ,(VS)
信念,xìnniàn ,(N)
信徒,xìntú ,(N)
信息,xìnxí ,(N)
星辰,xīngchén ,(N)
星座,xīngzuò ,(N)
興建,xīngjiàn,(VA)
興隆,xīnglóng ,(VS)
興起,xīngqǐ ,(VA)
行善,xíngshàn ,(VA)
行使,xíngshǐ ,(VA)
行星,xíngxīng ,(N)
行政,xíngzhèng ,(N)
刑事,xíngshì ,(N)
形勢,xíngshì ,(N)
形態,xíngtài ,(N)
形體,xíngtǐ ,(N)
形形色色,xíngxíngsèsè ,(VS)
型態,xíngtài ,(N)
性,xìng,(N)
性能,xìngnéng ,(N)
性情,xìngqíng ,(N)
興致,xìngzhì ,(N)
胸,xiōng ,(N)
胸口,xiōngkǒu ,(N)
修補,xiūbŭ ,(VA)
修訂,xiūdìng ,(VA)
修建,xiūjiàn ,(VA)
修女,xiūnǚ ,(N)
修養,xiūyăng ,(N)
修築,xiūzhú ,(VA)
繡,xiù ,(VA)
須,xū ,(Adv)
虛擬,xūnǐ ,(VA)
虛心,xūxīn ,(VS)
許,xŭ,(N)
許多,xŭduō ,(Adv)
許久,xŭjiŭ ,(N)
許可,xŭkě ,(VA)
酗酒,xùjiŭ ,(VS)
序幕,xùmù ,(N)
敘述,xùshù ,(VA)
宣稱,xuānchēng ,(VA)
宣告,xuāngào ,(VA)
宣示,xuānshì ,(VA)
宣誓,xuānshì ,(VA)
宣言,xuānyán ,(N)
宣揚,xuānyáng ,(VA)
旋律,xuánlǜ,(N)
旋轉,xuánzhuăn ,(VA)
懸殊,xuánshū ,(VS)
懸崖,xuányái ,(N)
選拔,xuănbá ,(VA)
選購,xuăngòu ,(VA)
選民,xuănmín ,(N)
選票,xuănpiào ,(N)
選修,xuănxiū ,(VA)
學分,xuéfēn ,(N)
學科,xuékē ,(N)
學年,xuénián ,(N)
學識,xuéshì ,(N)
學說,xuéshuō ,(N)
學徒,xuétú ,(N)
學員,xuéyuán ,(N)
學制,xuézhì ,(N)
雪人,xuěrén ,(N)
削弱,xuèruò ,(VA)
循環,xúnhuán ,(N)
巡邏,xúnluó ,(VA)
巡視,xúnshì ,(VA)
詢問,xúnwèn ,(VA)
訓,xùn ,(VA)
押,yā ,(VA)
鴉片,yāpiàn ,(N)
壓歲錢,yāsuìqián ,(N)
壓縮,yāsuō ,(VA)
壓制,yāzhì ,(VA)
牙科,yákē ,(N)
芽,yá ,(N)
啞,yă ,(VS)
亞軍,yàjūn ,(N)
亞洲,yàzhōu,(N)
淹,yān ,(VA)
研究所,yánjiùsuǒ,(N)
言論,yánlùn ,(N)
岩石,yánshí ,(N)
延遲,yánchí ,(VS)
延伸,yánshēn ,(VS)
延誤,yánwù ,(VS)
延續,yánxù ,(VS)
沿海,yánhăi ,(N)
沿途,yántú ,(N)
沿襲,yánxí ,(VS)
沿用,yányòng ,(VA)
嚴禁,yánjìn ,(VA)
嚴厲,yánlì ,(VS)
嚴密,yánmì ,(VS)
演變,yănbiàn ,(VS)
演講,yǎnjiǎng,(N)
演說,yănshuō ,(N)
演習,yănxí ,(VA)
眼界,yănjiè ,(N)
眼看,yănkàn ,(VA)
衍生,yănshēng ,(VA)
燕窩,yànwō ,(N)
燕子,yànzi ,(N)
央求,yāngqiú ,(VA)
仰,yăng ,(VA)
仰慕,yăngmù ,(VS)
養分,yăngfèn  ,(N)
養老,yănglăo ,(VS)
養育,yǎngyù,(VA)
邀,yāo ,(VA)
窯,yáo ,(N)
搖晃(ㄏㄨㄤ˙),yáohuang ,(VA)
謠言,yáoyán ,(N)
遙遠,yáoyuăn ,(VS)
要點,yàodiăn ,(N)
要犯,yàofàn ,(N)
藥品,yàopǐn ,(N)
葉,yè ,(M)
業績,yèjī ,(N)
依,yī ,(Prep)
依舊,yījiù ,(Adv)
依據,yījù ,(Prep)
依賴,yīlài ,(VS)
依照,yīzhào ,(Prep)
醫療,yīliáo ,(VA)
醫療,yīliáo,(N)
醫術,yīshù ,(N)
醫藥,yīyào ,(N)
一定,yīdìng,(VS)
一道,yídào ,(Adv)
一度,yídù ,(Adv)
一概,yígài ,(Adv)
一貫,yíguàn ,(VS)
一律,yílǜ,(Adv)
一味,yíwèi ,(Adv)
咦,yí ,(VS)
儀表,yíbiăo ,(N)
遺產,yíchăn ,(N)
遺傳,yíchuán ,(VS)
遺憾,yíhàn ,(VS)
遺留,yíliú ,(VA)
遺棄,yíqì ,(VA)
遺體,yítǐ ,(N)
遺忘,yíwàng ,(VS)
遺志,yízhì ,(N)
遺址,yízhǐ ,(N)
疑慮,yílǜ,(N)
移植,yízhí ,(VA)
倚,yǐ ,(VA)
以至/致(於),yǐzhì(yú)  ,(Conj)
亦,yì ,(Conj)
亦,yì ,(Adv)
一連串,yìliánchuàn ,(VS)
一流,yìliú ,(VS)
一如,yìrú ,(Prep)
一心,yìxīn ,(Adv)
液體,yètǐ,(N)
抑制,yìzhì ,(VA)
意識到,yìshìdào ,(VS)
意圖,yìtú ,(N)
意味,yìwèi ,(VS)
毅力,yìlì ,(N)
翌日,yìrì ,(N)
異常,yìcháng ,(VS)
異鄉,yìxiāng ,(N)
議定,yìdìng ,(VA)
議論,yìlùn ,(VA)
議題,yìtí ,(N)
議員,yìyuán ,(N)
音,yīn,(N)
因果,yīnguǒ ,(N)
陰謀,yīnmóu ,(N)
陰影,yīnyǐng,(N)
銀幕,yínmù,(N)
銀色,yínsè ,(N)
銀子,yínzi ,(N)
引,yǐn ,(VA)
引導,yǐndăo ,(VA)
引進,yǐnjìn ,(VA)
引擎,yǐnqíng ,(N)
隱藏,yǐncáng ,(VA)
隱士,yǐnshì ,(N)
隱約,yǐnyuē ,(Adv)
印證,yìnzhèng ,(VA)
櫻桃,yīngtáo ,(N)
英勇,yīngyǒng ,(VS)
英語,yīngyǔ,(N)
應,yīng ,(Prep)
應,yīng ,(VA)
鷹,yīng  ,(N)
營地,yíngdì ,(N)
營造,yíngzào ,(VA)
迎,yíng ,(VA)
迎合,yínghé ,(VS)
影射,yǐngshè ,(VS)
硬,yìng ,(Adv)
硬體,yìngtǐ,(N)
應變,yìngbiàn ,(VA)
應酬,yìngchóu ,(VA)
應急,yìngjí ,(VS)
應驗,yìngyàn ,(VS)
應徵,yìngzhēng ,(VA)
唷,yō ,(P)
湧,yǒng ,(VA)
踴躍,yǒngyuè ,(VS)
用戶,yònghù ,(N)
用途,yòngtú ,(N)
用心,yòngxīn ,(N)
悠久,yōujiŭ ,(VS)
悠閒,yōuxián ,(VS)
優待,yōudài ,(VA)
優勢,yōushì ,(N)
優先,yōuxiān ,(Adv)
優異,yōuyì ,(VS)
鈾,yóu ,(N)
由來,yóulái ,(N)
遊覽,yóulăn ,(VA)
油田,yóutián ,(N)
油條,yóutiáo ,(N)
友愛,yǒuài ,(VS)
有機,yǒujī ,(VS)
有理,yǒulǐ ,(VS)
有所,yǒusuǒ,(VS)
有為,yǒuwéi ,(VS)
有限,yǒuxiàn ,(VS)
有形,yǒuxíng ,(VS)
有心人,yǒuxīnrén ,(N)
有益,yǒuyì ,(VS)
有意,yǒuyì ,(VS)
有緣,yǒuyuán ,(VS)
誘惑,yòuhuò,(VA)
幼稚,yòuzhì ,(VS)
于,yú ,(Prep)
於,yú ,(Prep)
逾,yú ,(VS)
餘,yú ,(N)
餘,yú ,(VS)
愚蠢,yúchŭn ,(VS)
輿論,yúlùn ,(N)
漁民,yúmín ,(N)
予,yŭ ,(VA)
予以,yŭyǐ ,(VA)
與會,yŭhuì ,(VA)
雨季,yŭjì ,(N)
語文,yŭwén ,(N)
宇宙,yŭzhòu ,(N)
愈,yù,(Adv)
玉器,yùqì ,(N)
預測,yùcè ,(VA)
預防,yùfáng ,(VA)
預告,yùgào ,(VA)
預估,yùgū ,(VA)
預賽,yùsài ,(N)
預約,yùyuē ,(VA)
寓言,yùyán ,(N)
園林,yuánlín ,(N)
元氣,yuánqì ,(N)
元首,yuánshǒu ,(N)
元素,yuánsù ,(N)
原,yuán ,(Adv)
原本,yuánběn,(Adv)
原形,yuánxíng ,(N)
原野,yuányě ,(N)
原狀,yuánzhuàng ,(N)
原住民,yuánzhùmín,(N)
原子,yuánzǐ  ,(N)
原子彈,yuánzǐdàn ,(N)
援助,yuánzhù ,(VA)
遠景,yuănjǐng ,(N)
怨,yuàn ,(VS)
約束,yuēshù ,(VA)
躍,yuè ,(VA)
樂隊,yuèduì ,(N)
月台,yuètái ,(N)
運,yùn,(VA)
運行,yùnxíng ,(VA)
孕婦,yùnfù ,(N)
醞釀,yùnniàng ,(VA)
栽,zāi ,(VA)
災禍,zāihuò ,(N)
災情,zāiqíng ,(N)
在場,zàichăng ,(VA)
在世,zàishì ,(VS)
在座,zàizuò ,(VA)
再三,zàisān ,(Adv)
再生,zàishēng ,(VS)
咱,zán ,(N)
贊助,zànzhù ,(VA)
讚嘆/歎,zàntàn ,(VA)
贓物,zāngwù ,(N)
遭,zāo ,(Prep)
遭,zāo ,(VS)
遭,zāo ,(M)
遭遇,zāoyù,(VS)
造反,zàofăn ,(VA)
造化,zàohuà ,(N)
造物主,zàowùzhŭ ,(N)
造型,zàoxíng ,(N)
責備,zébèi ,(VA)
增進,zēngjìn ,(VA)
增強,zēngqiáng ,(VS)
增值,zēngzhí,(VS)
贈,zèng ,(VA)
扎,zhā,(VA)
炸藥,zhàyào,(N)
沾,zhān ,(VA)
盞,zhăn ,(M)
展望,zhănwàng ,(VS)
展現,zhănxiàn ,(VA)
嶄新,zhănxīn ,(VS)
占/佔據,zhànjù ,(VA)
占/佔領,zhànlǐng ,(VA)
顫抖,zhàndǒu ,(VA)
戰火,zhànhuǒ ,(N)
戰機,zhànjī ,(N)
戰亂,zhànluàn ,(N)
戰略,zhànlüè ,(N)
戰勝,zhànshèng ,(VA)
戰士,zhànshì ,(N)
戰術,zhànshù ,(N)
戰線,zhànxiàn ,(N)
戰友,zhànyǒu ,(N)
戰戰兢兢,zhànzhànjīngjīng ,(VS)
張開,zhāngkāi ,(VA)
張貼,zhāngtiē ,(VA)
長子,zhǎngzǐ,(N)
帳篷,zhàngpéng ,(N)
丈,zhàng ,(M)
朝氣,zhāoqì ,(N)
著想,zháoxiăng ,(VS)
找尋,zhăoxún ,(VA)
沼澤,zhăozé ,(N)
召集,zhàojí ,(VA)
照例,zhàolì ,(Adv)
照耀,zhàoyào ,(VA)
遮,zhē ,(VA)
遮蔽,zhēbì ,(VA)
折騰,zhēténg ,(VA)
針灸,zhēnjiŭ ,(VA)
真情,zhēnqíng ,(N)
診斷,zhěnduàn ,(VA)
診所,zhěnsuǒ ,(N)
鎮定,zhèndìng ,(VS)
鎮壓,zhènyā ,(VA)
